2026-07-13 23:58:58 | WARNING  | database.connection:_create_engine:74 | PostgreSQL unavailable (OperationalError). Falling back to SQLite at C:\Users\aryan\SENTANAL-AI\datasets\sentinel_ai.db.
2026-07-13 23:58:58 | INFO     | database.connection:_build_sqlite_engine:95 | Using SQLite fallback database at C:\Users\aryan\SENTANAL-AI\datasets\sentinel_ai.db
2026-07-14 00:00:04 | WARNING  | database.connection:_create_engine:74 | PostgreSQL unavailable (OperationalError). Falling back to SQLite at C:\Users\aryan\SENTANAL-AI\datasets\sentinel_ai.db.
2026-07-14 00:00:04 | INFO     | database.connection:_build_sqlite_engine:95 | Using SQLite fallback database at C:\Users\aryan\SENTANAL-AI\datasets\sentinel_ai.db
2026-07-14 00:00:23 | WARNING  | database.connection:_create_engine:74 | PostgreSQL unavailable (OperationalError). Falling back to SQLite at C:\Users\aryan\SENTANAL-AI\datasets\sentinel_ai.db.
2026-07-14 00:00:23 | INFO     | database.connection:_build_sqlite_engine:95 | Using SQLite fallback database at C:\Users\aryan\SENTANAL-AI\datasets\sentinel_ai.db
2026-07-14 00:00:24 | INFO     | database.bulk_loader:load_dataframe:68 | [districts] Loaded 2 rows in 2 batches.
2026-07-14 00:00:24 | WARNING  | database.connection:retry_operation:114 | Database operation failed on attempt 1. Retrying in 0.00s.
2026-07-14 00:00:24 | WARNING  | database.connection:retry_operation:114 | Database operation failed on attempt 2. Retrying in 0.00s.
2026-07-14 00:00:25 | INFO     | etl.validate:validate_dataset:55 | Validating test_perfect (3 rows)...
2026-07-14 00:00:25 | INFO     | etl.validate:validate_dataset:88 | [test_perfect] Validation Complete. Valid: 3, Failed: 0, Duplicates: 0. Quality Score: 100.0%
2026-07-14 00:00:25 | INFO     | etl.validate:validate_dataset:55 | Validating test_dup (3 rows)...
2026-07-14 00:00:25 | ERROR    | etl.validate:validate_dataset:63 | [test_dup] CRITICAL: Found 2 duplicate rows on PK 'id'.
2026-07-14 00:00:25 | DEBUG    | etl.validate:_save_bad_records:100 | Saved 2 bad records to C:\Users\aryan\SENTANAL-AI\datasets\exports\reports\test_dup_duplicates.csv
2026-07-14 00:00:25 | INFO     | etl.validate:validate_dataset:88 | [test_dup] Validation Complete. Valid: 1, Failed: 0, Duplicates: 2. Quality Score: 73.33%
2026-07-14 00:07:44 | WARNING  | database.connection:_create_engine:74 | PostgreSQL unavailable (OperationalError). Falling back to SQLite at C:\Users\aryan\SENTANAL-AI\datasets\sentinel_ai.db.
2026-07-14 00:07:44 | INFO     | database.connection:_build_sqlite_engine:95 | Using SQLite fallback database at C:\Users\aryan\SENTANAL-AI\datasets\sentinel_ai.db
2026-07-14 00:08:31 | WARNING  | database.connection:_create_engine:74 | PostgreSQL unavailable (OperationalError). Falling back to SQLite at C:\Users\aryan\SENTANAL-AI\datasets\sentinel_ai.db.
2026-07-14 00:08:31 | INFO     | database.connection:_build_sqlite_engine:95 | Using SQLite fallback database at C:\Users\aryan\SENTANAL-AI\datasets\sentinel_ai.db
2026-07-14 00:08:56 | WARNING  | database.connection:_create_engine:74 | PostgreSQL unavailable (OperationalError). Falling back to SQLite at C:\Users\aryan\SENTANAL-AI\datasets\sentinel_ai.db.
2026-07-14 00:08:56 | INFO     | database.connection:_build_sqlite_engine:95 | Using SQLite fallback database at C:\Users\aryan\SENTANAL-AI\datasets\sentinel_ai.db
2026-07-14 00:09:11 | WARNING  | database.connection:_create_engine:74 | PostgreSQL unavailable (OperationalError). Falling back to SQLite at C:\Users\aryan\SENTANAL-AI\datasets\sentinel_ai.db.
2026-07-14 00:09:11 | INFO     | database.connection:_build_sqlite_engine:95 | Using SQLite fallback database at C:\Users\aryan\SENTANAL-AI\datasets\sentinel_ai.db
2026-07-14 00:09:15 | INFO     | database.bulk_loader:load_dataframe:68 | [districts] Loaded 2 rows in 2 batches.
2026-07-14 00:09:15 | WARNING  | database.connection:retry_operation:114 | Database operation failed on attempt 1. Retrying in 0.00s.
2026-07-14 00:09:15 | WARNING  | database.connection:retry_operation:114 | Database operation failed on attempt 2. Retrying in 0.00s.
2026-07-14 00:09:15 | INFO     | etl.validate:validate_dataset:55 | Validating test_perfect (3 rows)...
2026-07-14 00:09:15 | INFO     | etl.validate:validate_dataset:88 | [test_perfect] Validation Complete. Valid: 3, Failed: 0, Duplicates: 0. Quality Score: 100.0%
2026-07-14 00:09:15 | INFO     | etl.validate:validate_dataset:55 | Validating test_dup (3 rows)...
2026-07-14 00:09:15 | ERROR    | etl.validate:validate_dataset:63 | [test_dup] CRITICAL: Found 2 duplicate rows on PK 'id'.
2026-07-14 00:09:15 | DEBUG    | etl.validate:_save_bad_records:100 | Saved 2 bad records to C:\Users\aryan\SENTANAL-AI\datasets\exports\reports\test_dup_duplicates.csv
2026-07-14 00:09:15 | INFO     | etl.validate:validate_dataset:88 | [test_dup] Validation Complete. Valid: 1, Failed: 0, Duplicates: 2. Quality Score: 73.33%
2026-07-14 00:12:37 | WARNING  | database.connection:_create_engine:74 | PostgreSQL unavailable (OperationalError). Falling back to SQLite at C:\Users\aryan\SENTANAL-AI\datasets\sentinel_ai.db.
2026-07-14 00:12:37 | INFO     | database.connection:_build_sqlite_engine:95 | Using SQLite fallback database at C:\Users\aryan\SENTANAL-AI\datasets\sentinel_ai.db
2026-07-14 00:12:51 | WARNING  | database.connection:_create_engine:74 | PostgreSQL unavailable (OperationalError). Falling back to SQLite at C:\Users\aryan\SENTANAL-AI\datasets\sentinel_ai.db.
2026-07-14 00:12:51 | INFO     | database.connection:_build_sqlite_engine:95 | Using SQLite fallback database at C:\Users\aryan\SENTANAL-AI\datasets\sentinel_ai.db
2026-07-14 00:13:07 | WARNING  | database.connection:_create_engine:74 | PostgreSQL unavailable (OperationalError). Falling back to SQLite at C:\Users\aryan\SENTANAL-AI\datasets\sentinel_ai.db.
2026-07-14 00:13:07 | INFO     | database.connection:_build_sqlite_engine:95 | Using SQLite fallback database at C:\Users\aryan\SENTANAL-AI\datasets\sentinel_ai.db
2026-07-14 00:13:23 | WARNING  | database.connection:_create_engine:74 | PostgreSQL unavailable (OperationalError). Falling back to SQLite at C:\Users\aryan\SENTANAL-AI\datasets\sentinel_ai.db.
2026-07-14 00:13:23 | INFO     | database.connection:_build_sqlite_engine:95 | Using SQLite fallback database at C:\Users\aryan\SENTANAL-AI\datasets\sentinel_ai.db
2026-07-14 00:13:27 | INFO     | database.bulk_loader:load_dataframe:68 | [districts] Loaded 2 rows in 2 batches.
2026-07-14 00:13:27 | WARNING  | database.connection:retry_operation:114 | Database operation failed on attempt 1. Retrying in 0.00s.
2026-07-14 00:13:27 | WARNING  | database.connection:retry_operation:114 | Database operation failed on attempt 2. Retrying in 0.00s.
2026-07-14 00:13:27 | INFO     | etl.validate:validate_dataset:55 | Validating test_perfect (3 rows)...
2026-07-14 00:13:27 | INFO     | etl.validate:validate_dataset:88 | [test_perfect] Validation Complete. Valid: 3, Failed: 0, Duplicates: 0. Quality Score: 100.0%
2026-07-14 00:13:27 | INFO     | etl.validate:validate_dataset:55 | Validating test_dup (3 rows)...
2026-07-14 00:13:27 | ERROR    | etl.validate:validate_dataset:63 | [test_dup] CRITICAL: Found 2 duplicate rows on PK 'id'.
